TTI[1003] - trigger[23 , 18 ]
TTI[1009] - trigger[30 , 77 ]
TTI[1010] - trigger[186, 170]
TTI[1013] - trigger[6  , 205]
TTI[1016] - trigger[8  , 186]
TTI[1018] - trigger[204, 188]
TTI[1022] - trigger[6  , 115]
TTI[1027] - trigger[129, 185]
TTI[1031] - trigger[41 , 207]
TTI[1033] - trigger[195, 159]
TTI[1034] - trigger[80 , 137]
TTI[1039] - trigger[83 , 119]
TTI[1041] - trigger[61 , 141]
TTI[1042] - trigger[182, 200]
TTI[1046] - trigger[217, 78 ]
TTI[1047] - trigger[137, 32 ]
TTI[1051] - trigger[154, 99 ]
TTI[1053] - trigger[134, 154]
TTI[1055] - trigger[38 , 81 ]
TTI[1056] - trigger[9  , 159]
TTI[1057] - trigger[193, 216]
TTI[1064] - trigger[189, 167]
TTI[1065] - trigger[35 , 76 ]
TTI[1066] - trigger[134, 54 ]
TTI[1069] - trigger[207, 66 ]
TTI[1074] - trigger[55 , 53 ]
TTI[1086] - trigger[225, 37 ]
TTI[1089] - trigger[84 , 164]
TTI[1092] - trigger[165, 97 ]
TTI[1094] - trigger[20 , 210]
TTI[1101] - trigger[186, 192]
TTI[1121] - trigger[108, 104]
TTI[1123] - trigger[182, 100]
TTI[1125] - trigger[157, 195]
TTI[1126] - trigger[198, 32 ]
TTI[1127] - trigger[134, 93 ]
TTI[1130] - trigger[51 , 6  ]
TTI[1137] - trigger[46 , 214]
TTI[1138] - trigger[70 , 192]
TTI[1140] - trigger[19 , 98 ]
TTI[1140] - trigger[78 , 100]
TTI[1146] - trigger[218, 12 ]
TTI[1157] - trigger[75 , 140]
TTI[1180] - trigger[5  , 174]
TTI[1184] - trigger[92 , 72 ]
TTI[1187] - trigger[95 , 110]
TTI[1190] - trigger[124, 97 ]
TTI[1193] - trigger[65 , 97 ]
TTI[1196] - trigger[133, 121]
TTI[1200] - trigger[103, 17 ]
TTI[1202] - trigger[42 , 224]
TTI[1204] - trigger[182, 71 ]
TTI[1209] - trigger[206, 0  ]
TTI[1212] - trigger[38 , 143]
TTI[1212] - trigger[79 , 51 ]
TTI[1215] - trigger[75 , 126]
TTI[1222] - trigger[16 , 97 ]
TTI[1224] - trigger[92 , 127]
TTI[1228] - trigger[46 , 37 ]
TTI[1244] - trigger[158, 118]
TTI[1248] - trigger[10 , 198]
TTI[1249] - trigger[125, 186]
TTI[1256] - trigger[125, 104]
TTI[1257] - trigger[182, 164]
TTI[1260] - trigger[2  , 59 ]
TTI[1263] - trigger[2  , 135]
